                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4941,                 1.8322,                 1.4678,                0.69772,                0.45994,                0.53938,                0.35089,                 1.3833,                 1.8903,                 1.4395,             0.00065641,             0.00065641,             0.00065641
                      2,                 1.4081,                 1.2857,                 1.3648,                0.68225,                0.62451,                0.67141,                0.39095,                 1.4542,                 1.4356,                 1.5365,              0.0012903,              0.0012903,              0.0012903
                      3,                 1.3848,                 1.2178,                 1.3698,                0.62266,                0.57452,                0.60487,                0.32757,                 1.6649,                 2.0799,                 1.7262,              0.0018913,              0.0018913,              0.0018913
                      4,                 1.3792,                 1.1703,                 1.3612,                0.80243,                0.60497,                0.69277,                0.40557,                  1.436,                 1.3029,                 1.5878,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.3428,                 1.1228,                 1.3341,                0.75943,                 0.6172,                0.70916,                0.41821,                 1.4634,                 1.5588,                 1.5046,               0.001802,               0.001802,               0.001802
                      6,                 1.3631,                 1.0976,                 1.3459,                0.81924,                0.66106,                0.75651,                0.48858,                 1.3195,                 1.0724,                 1.3799,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.3577,                  1.079,                 1.3573,                0.83694,                0.64503,                0.76672,                0.50003,                 1.2645,                 1.0014,                  1.367,               0.001703,               0.001703,               0.001703
                      8,                 1.2987,                0.99948,                 1.3186,                0.79503,                0.57496,                0.67898,                0.42824,                 1.4001,                   1.18,                 1.4137,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.2879,                0.97541,                 1.2999,                 0.7919,                0.66266,                0.73575,                0.49137,                 1.2672,                 1.0338,                 1.3399,               0.001604,               0.001604,               0.001604
                     10,                 1.2766,                0.96891,                 1.3148,                0.82855,                0.67788,                0.77984,                0.47948,                  1.321,                  1.054,                 1.3656,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.2726,                 0.9381,                 1.2834,                0.76566,                0.63301,                0.72216,                0.49316,                 1.2204,                 1.0049,                 1.3178,               0.001505,               0.001505,               0.001505
                     12,                 1.2362,                0.93503,                 1.3033,                0.82599,                0.71505,                0.80459,                0.54344,                 1.1816,                0.90114,                 1.2759,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.2453,                0.91358,                 1.2606,                0.85838,                0.69934,                0.80509,                0.53228,                 1.2037,                0.88277,                 1.2629,               0.001406,               0.001406,               0.001406
                     14,                 1.2298,                 0.8976,                 1.2559,                0.83676,                0.70353,                0.81003,                0.54696,                 1.2006,                0.89604,                  1.278,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.2173,                0.87325,                 1.2668,                0.82781,                0.67949,                0.77787,                0.52726,                 1.1997,                0.92266,                  1.301,               0.001307,               0.001307,               0.001307
                     16,                 1.2195,                0.87104,                  1.261,                0.84543,                0.68371,                0.80767,                0.54693,                 1.1748,                0.85652,                 1.2678,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.1909,                0.87788,                  1.249,                0.85863,                0.71875,                0.82113,                0.56285,                 1.1574,                0.82193,                 1.2532,               0.001208,               0.001208,               0.001208
                     18,                 1.1734,                0.85334,                 1.2322,                0.87425,                0.73077,                0.83497,                0.55616,                 1.1764,                0.83806,                  1.269,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.1729,                0.83238,                 1.2413,                0.85533,                0.73429,                 0.8254,                0.55916,                   1.18,                0.79976,                 1.2563,               0.001109,               0.001109,               0.001109
                     20,                 1.1677,                0.83873,                 1.2485,                0.87506,                0.70713,                0.81231,                0.54999,                 1.1879,                0.82966,                 1.2593,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.1932,                0.83834,                 1.2436,                 0.8602,                0.72474,                0.82654,                0.56852,                 1.1468,                0.80794,                  1.241,                0.00101,                0.00101,                0.00101
                     22,                 1.1739,                0.82144,                 1.2308,                0.87584,                0.72676,                0.83203,                0.57193,                 1.1293,                0.79773,                 1.2236,              0.0009605,              0.0009605,              0.0009605
                     23,                  1.148,                0.80191,                 1.2181,                 0.8701,                0.72997,                0.82723,                0.56533,                 1.1511,                0.79508,                  1.235,               0.000911,               0.000911,               0.000911
                     24,                 1.1464,                0.80249,                 1.2183,                0.87621,                 0.7476,                0.84407,                0.57825,                 1.1398,                0.77637,                 1.2174,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.1162,                0.77928,                 1.2132,                 0.8718,                0.73016,                0.83292,                0.57222,                 1.1239,                0.77259,                 1.2312,               0.000812,               0.000812,               0.000812
